index,类别,子类,实体名称,问题,参考答案,Evidence
76,工作流,Code Review,arg.cpp,我在 review common/arg.cpp 的代码，common_params_parse_ex 和 common_params_handle_remote_preset 之间的调用关系合理吗？这个文件的内聚性如何？,在 common/arg.cpp 中，common_params_parse_ex（fan_out=8）调用了 common_params_handle_remote_preset（fan_in=1）。 common_params_parse_ex：Parse and process command line arguments and environment variables to populate common parameters context. common_params_handle_remote_preset：Fetches and applies a remote preset configuration based on a model repository and tag.,common/arg.cpp
77,工作流,复杂度评估,test_multiple_buffer_types,函数 test_multiple_buffer_types 调用了 21 个子函数，复杂度很高。有什么重构建议？,test_multiple_buffer_types（tests/test-alloc.cpp）fan_out=21，是系统中最复杂的函数之一。 功能：Tests memory allocation and handling of multiple buffer types across different backends in a computation graph. 建议考虑按职责拆分为多个子函数，降低认知复杂度。,tests/test-alloc.cpp
78,工作流,复杂度评估,diffusion_generate,函数 diffusion_generate 调用了 21 个子函数，复杂度很高。有什么重构建议？,diffusion_generate（examples/diffusion/diffusion-cli.cpp）fan_out=21，是系统中最复杂的函数之一。 功能：Generates tokens for diffusion-based sampling using iterative masking and token replacement in a llama model context. 建议考虑按职责拆分为多个子函数，降低认知复杂度。,examples/diffusion/diffusion-cli.cpp
79,工作流,影响分析,test_template,我想修改函数 test_template，这样做的风险有多大？会影响哪些上游调用者？,test_template（tests/test-jinja.cpp）被 18 个函数调用，修改风险较高。 功能：Executes and verifies template rendering against expected output using provided variables. 建议修改前做充分的回归测试。,tests/test-jinja.cpp
80,工作流,影响分析,ggml_type_size,我想修改函数 ggml_type_size，这样做的风险有多大？会影响哪些上游调用者？,ggml_type_size（ggml/src/ggml.c）被 26 个函数调用，修改风险较高。 功能：Return the size in bytes of a specified GGML data type. 建议修改前做充分的回归测试。,ggml/src/ggml.c
81,工作流,Code Review,console.cpp,我在 review common/console.cpp 的代码，readline_advanced 和 getchar32 之间的调用关系合理吗？这个文件的内聚性如何？,"在 common/console.cpp 中，readline_advanced（fan_out=8）调用了 getchar32（fan_in=1）。 readline_advanced：Reads a line of user input from the console with advanced editing and history support. getchar32：Reads a single Unicode character from standard input, handling surrogate pairs and special keys.",common/console.cpp
82,工作流,影响分析,llama_sampler_init_dist,我想修改函数 llama_sampler_init_dist，这样做的风险有多大？会影响哪些上游调用者？,llama_sampler_init_dist（src/llama-sampler.cpp）被 21 个函数调用，修改风险较高。 功能：Initialize a llama_sampler instance with a distribution-based sampling interface and seeded random number generator. 建议修改前做充分的回归测试。,src/llama-sampler.cpp
83,工作流,Code Review,download.cpp,我在 review common/download.cpp 的代码，write_etag 和 write_file 之间的调用关系合理吗？这个文件的内聚性如何？,在 common/download.cpp 中，write_etag（fan_out=3）调用了 write_file（fan_in=1）。 write_etag：Save the given etag string to a file with '.etag' appended to the original path. write_file：Atomically writes content to a file by writing to a temporary file and renaming it.,common/download.cpp
84,工作流,改动热点,common_chat_templates_get_caps,函数 common_chat_templates_get_caps 最近被频繁修改，是不是设计有问题？历史上改它容易出什么问题？,common_chat_templates_get_caps（common/chat.cpp）被 4 个 PR 修改过。最近的 PR 包括：common : rework gpt-oss parser; common/parser: add proper reasoning tag prefill reading; chat : fix out_of_range crash in throw path (#20424 regression)。 功能：Retrieve the capabilities map from the default chat template.,common/chat.cpp
85,工作流,影响分析,llama_model_get_vocab,我想修改函数 llama_model_get_vocab，这样做的风险有多大？会影响哪些上游调用者？,llama_model_get_vocab（src/llama-model.cpp）被 24 个函数调用，修改风险较高。 功能：Retrieve the vocabulary associated with a given llama model. 建议修改前做充分的回归测试。,src/llama-model.cpp
86,工作流,依赖风险,llama_adapter_lora_init_impl -> seek,src/llama-adapter.cpp 依赖了 src/llama-mmap.cpp，这个跨模块依赖合理吗？如果后者接口变了，影响范围多大？,llama_adapter_lora_init_impl（src/llama-adapter.cpp）调用了 seek（src/llama-mmap.cpp），存在跨模块耦合。 被依赖函数功能：Adjust the file or stream position to the specified offset according to whence. 如果被依赖接口变更，需要同步更新调用方。,"src/llama-adapter.cpp, src/llama-mmap.cpp"
87,工作流,影响分析,ggml_barrier,我想修改函数 ggml_barrier，这样做的风险有多大？会影响哪些上游调用者？,ggml_barrier（ggml/src/ggml-cpu/ggml-cpu.c）被 20 个函数调用，修改风险较高。 功能：Synchronize threads in a thread pool to wait until all have reached the barrier point. 建议修改前做充分的回归测试。,ggml/src/ggml-cpu/ggml-cpu.c
88,工作流,改动热点,operator<<,函数 operator<< 最近被频繁修改，是不是设计有问题？历史上改它容易出什么问题？,operator<<（tests/test-chat.cpp）被 4 个 PR 修改过。最近的 PR 包括：common : rework gpt-oss parser; common/parser: add proper reasoning tag prefill reading; chat : fix out_of_range crash in throw path (#20424 regression)。 功能：Serialize common_chat_msg object to an output stream in a structured format.,tests/test-chat.cpp
89,工作流,依赖风险,llama_adapter_lora_init_impl -> gguf_get_val_f32,src/llama-adapter.cpp 依赖了 ggml/src/gguf.cpp，这个跨模块依赖合理吗？如果后者接口变了，影响范围多大？,llama_adapter_lora_init_impl（src/llama-adapter.cpp）调用了 gguf_get_val_f32（ggml/src/gguf.cpp），存在跨模块耦合。 被依赖函数功能：Retrieve a single float value from the key-value store at the specified key index. 如果被依赖接口变更，需要同步更新调用方。,"src/llama-adapter.cpp, ggml/src/gguf.cpp"
90,工作流,Code Review,common.cpp,我在 review common/common.cpp 的代码，is_running_on_efficiency_core 和 cpuid 之间的调用关系合理吗？这个文件的内聚性如何？,在 common/common.cpp 中，is_running_on_efficiency_core（fan_out=1）调用了 cpuid（fan_in=2）。 is_running_on_efficiency_core：Determine if the current CPU core is an Intel efficiency core based on CPUID data. cpuid：Execute the CPUID instruction to retrieve CPU feature information.,common/common.cpp
91,工作流,影响分析,llama_get_model,我想修改函数 llama_get_model，这样做的风险有多大？会影响哪些上游调用者？,llama_get_model（src/llama-context.cpp）被 19 个函数调用，修改风险较高。 功能：Retrieve a pointer to the model associated with the given context. 建议修改前做充分的回归测试。,src/llama-context.cpp
92,工作流,Code Review,chat.cpp,我在 review common/chat.cpp 的代码，common_chat_templates_apply_jinja 和 common_chat_params_init_ministral_3 之间的调用关系合理吗？这个文件的内聚性如何？,"在 common/chat.cpp 中，common_chat_templates_apply_jinja（fan_out=8）调用了 common_chat_params_init_ministral_3（fan_in=1）。 common_chat_templates_apply_jinja：Processes chat templates with inputs to generate parameters for chat rendering, applying special cases and fallbacks. common_chat_params_init_ministral_3：Initialize chat parameters for the Ministral 3 model by formatting input messages, constructing a PEG parser, and setting up grammar rules.",common/chat.cpp
93,工作流,模块稳定性,vulkan,llama.cpp 的 vulkan 模块最近稳定吗？有没有频繁出 bug 的趋势？,"vulkan 模块最近有 3 个已修复的 bug：Issue #17628, #19955, #19420，对应修复 PR #20672, #20296, #20059。","#17628, #19955, #19420, #20672, #20296, #20059"
94,工作流,改动热点,common_chat_msg::to_json_oaicompat,函数 common_chat_msg::to_json_oaicompat 最近被频繁修改，是不是设计有问题？历史上改它容易出什么问题？,common_chat_msg::to_json_oaicompat（common/chat.cpp）被 4 个 PR 修改过。最近的 PR 包括：common : rework gpt-oss parser; common/parser: add proper reasoning tag prefill reading; chat : fix out_of_range crash in throw path (#20424 regression)。 功能：Convert a common_chat_msg object into a JSON representation compatible with OpenAI's chat format.,common/chat.cpp
95,工作流,改动热点,message_with_reasoning_content_and_multiple_tool_calls,函数 message_with_reasoning_content_and_multiple_tool_calls 最近被频繁修改，是不是设计有问题？历史上改它容易出什么问题？,"message_with_reasoning_content_and_multiple_tool_calls（tests/test-chat.cpp）被 4 个 PR 修改过。最近的 PR 包括：common : rework gpt-oss parser; common/parser: add proper reasoning tag prefill reading; chat : fix out_of_range crash in throw path (#20424 regression)。 功能：Construct a chat message with reasoning, content, and multiple tool call entries.",tests/test-chat.cpp
96,工作流,改动热点,message_with_tool_calls_and_reasoning,函数 message_with_tool_calls_and_reasoning 最近被频繁修改，是不是设计有问题？历史上改它容易出什么问题？,message_with_tool_calls_and_reasoning（tests/test-chat.cpp）被 4 个 PR 修改过。最近的 PR 包括：common : rework gpt-oss parser; common/parser: add proper reasoning tag prefill reading; chat : fix out_of_range crash in throw path (#20424 regression)。 功能：Construct a chat message encapsulating a tool call with its arguments and reasoning.,tests/test-chat.cpp
97,工作流,模块稳定性,server,llama.cpp 的 server 模块最近稳定吗？有没有频繁出 bug 的趋势？,"server 模块最近有 3 个已修复的 bug：Issue #19690, #19513, #19394，对应修复 PR #19849, #19773, #19408。","#19690, #19513, #19394, #19849, #19773, #19408"
